上海频道,#genre#
江苏卫视,http://58.37.189.47:8088/rtp/239.45.3.177:5140
湖南卫视,http://58.37.82.140:56789/rtp/239.45.3.228:5140
北京卫视,http://58.37.82.140:56789/rtp/239.45.3.229:5140
广东卫视,http://58.37.82.140:56789/rtp/239.45.3.230:5140
深圳卫视,http://58.37.189.47:8088/rtp/239.45.3.231:5140
黑龙江卫视,http://58.37.82.140:56789/rtp/239.45.3.232:5140
山东卫视,http://58.37.189.47:8088/rtp/239.45.3.238:5140
湖北卫视,http://58.37.189.47:8088/rtp/239.45.3.239:5140
安徽卫视,http://61.173.95.181:4022/rtp/239.45.1.120:5140
东南卫视,http://222.65.134.204:10000/rtp/239.45.1.121:5140
江西卫视,http://61.173.95.181:4022/rtp/239.45.1.122:5140
辽宁卫视,http://61.173.95.181:4022/rtp/239.45.1.123:5140
天津卫视,http://58.37.82.140:56789/rtp/239.45.1.124:5140
四川卫视,http://58.37.189.47:8088/rtp/239.45.1.83:5140
重庆卫视,http://58.37.189.47:8088/rtp/239.45.1.84:5140
贵州卫视,http://222.65.134.204:10000/rtp/239.45.1.80:5140
海南卫视,http://58.37.82.140:56789/rtp/239.45.1.81:5140
河北卫视,http://58.37.189.47:8088/rtp/239.45.1.44:5140
金鹰纪实,http://58.37.189.47:8088/rtp/239.45.1.45:5140
宁夏卫视,http://58.37.189.47:8088/rtp/239.45.1.213:5140
广西卫视,http://58.37.189.47:8088/rtp/239.45.0.5:5140
吉林卫视,http://58.37.189.47:8088/rtp/239.45.0.6:5140
山西卫视,http://61.170.254.112:1024/rtp/239.45.1.229:5140
青海卫视,http://61.170.254.112:1024/rtp/239.45.1.230:5140
西藏卫视,http://61.170.254.112:1024/rtp/239.45.1.231:5140
陕西卫视,http://58.37.82.140:56789/rtp/239.45.1.232:5140
云南卫视,http://58.37.189.47:8088/rtp/239.45.0.4:5140
甘肃卫视,http://61.170.254.112:1024/rtp/239.45.1.234:5140
内蒙古卫视,http://61.170.254.112:1024/rtp/239.45.1.238:5140
河南卫视,http://58.37.82.140:56789/rtp/239.45.0.3:5140
新疆卫视,http://58.37.189.47:8088/rtp/239.45.1.116:5140
兵团卫视,http://58.37.189.47:8088/rtp/239.45.3.143:5140
三沙卫视,http://222.65.134.204:10000/rtp/239.45.1.82:5140
康巴卫视,http://61.170.254.112:1024/rtp/239.45.1.251:5140
广东大湾区卫视,http://113.71.148.134:5555/rtp/239.77.0.215:5146

4GTV,#genre#
民视台湾台,http://myzy.eu.org/proxy.php?id=4gtv-4gtv001
民视,http://myzy.eu.org/proxy.php?id=4gtv-4gtv002
民视第一台,http://myzy.eu.org/proxy.php?id=4gtv-4gtv003
民视综艺,http://myzy.eu.org/proxy.php?id=4gtv-4gtv004
猪哥亮歌厅秀,http://myzy.eu.org/proxy.php?id=4gtv-4gtv006
中天新闻,http://myzy.eu.org/proxy.php?id=4gtv-4gtv009
非凡新闻,http://myzy.eu.org/proxy.php?id=4gtv-4gtv010
影迷數位電影台,http://myzy.eu.org/proxy.php?id=4gtv-4gtv011
視納華仁紀實頻道,http://myzy.eu.org/proxy.php?id=4gtv-4gtv013
时尚运动X,http://myzy.eu.org/proxy.php?id=4gtv-4gtv014
GLOBETROTTER,http://myzy.eu.org/proxy.php?id=4gtv-4gtv016
amc电影台,http://myzy.eu.org/proxy.php?id=4gtv-4gtv017
达文西频道,http://myzy.eu.org/proxy.php?id=4gtv-4gtv018
八大精彩台,http://myzy.eu.org/proxy.php?id=4gtv-4gtv034
八大综艺台,http://myzy.eu.org/proxy.php?id=4gtv-4gtv039
中视,http://myzy.eu.org/proxy.php?id=4gtv-4gtv040
华视,http://myzy.eu.org/proxy.php?id=4gtv-4gtv041
公视戏剧,http://myzy.eu.org/proxy.php?id=4gtv-4gtv042
客家电视台,http://myzy.eu.org/proxy.php?id=4gtv-4gtv043
靖天卡通台,http://myzy.eu.org/proxy.php?id=4gtv-4gtv044
靖洋戏剧台,http://myzy.eu.org/proxy.php?id=4gtv-4gtv045
靖天综合台,http://myzy.eu.org/proxy.php?id=4gtv-4gtv046
靖天日本台,http://myzy.eu.org/proxy.php?id=4gtv-4gtv047
非凡商业,http://myzy.eu.org/proxy.php?id=4gtv-4gtv048
采昌影剧,http://myzy.eu.org/proxy.php?id=4gtv-4gtv049
台视新闻,http://myzy.eu.org/proxy.php?id=4gtv-4gtv051
华视新闻,http://myzy.eu.org/proxy.php?id=4gtv-4gtv052
GinxTV,http://myzy.eu.org/proxy.php?id=4gtv-4gtv053
靖天欢乐台,http://myzy.eu.org/proxy.php?id=4gtv-4gtv054
靖天映画,http://myzy.eu.org/proxy.php?id=4gtv-4gtv055
台视财经,http://myzy.eu.org/proxy.php?id=4gtv-4gtv056
靖洋卡通台,http://myzy.eu.org/proxy.php?id=4gtv-4gtv057
靖天戏剧台,http://myzy.eu.org/proxy.php?id=4gtv-4gtv058
古典音乐台,http://myzy.eu.org/proxy.php?id=4gtv-4gtv059
靖天电影台,http://myzy.eu.org/proxy.php?id=4gtv-4gtv061
靖天育乐台,http://myzy.eu.org/proxy.php?id=4gtv-4gtv062
靖天国际台,http://myzy.eu.org/proxy.php?id=4gtv-4gtv063
中视菁采,http://myzy.eu.org/proxy.php?id=4gtv-4gtv064
靖天资讯台,http://myzy.eu.org/proxy.php?id=4gtv-4gtv065
台视,http://myzy.eu.org/proxy.php?id=4gtv-4gtv066
tvbs精采台,http://myzy.eu.org/proxy.php?id=4gtv-4gtv067
tvbs欢乐台,http://myzy.eu.org/proxy.php?id=4gtv-4gtv068
爱尔达娱乐,http://myzy.eu.org/proxy.php?id=4gtv-4gtv070
tvbs新闻台,http://myzy.eu.org/proxy.php?id=4gtv-4gtv072
tvbs,http://myzy.eu.org/proxy.php?id=4gtv-4gtv073
中视新闻,http://myzy.eu.org/proxy.php?id=4gtv-4gtv074
镜新闻,http://myzy.eu.org/proxy.php?id=4gtv-4gtv075
CATCHPLAY电影台,http://myzy.eu.org/proxy.php?id=4gtv-4gtv076
TRACESPORTSSTARS,http://myzy.eu.org/proxy.php?id=4gtv-4gtv077
阿里郎,http://myzy.eu.org/proxy.php?id=4gtv-4gtv079
中视经典,http://myzy.eu.org/proxy.php?id=4gtv-4gtv080
TRACEURBAN,http://myzy.eu.org/proxy.php?id=4gtv-4gtv082
MEZZOLIVE,http://myzy.eu.org/proxy.php?id=4gtv-4gtv083
国会频道1,http://myzy.eu.org/proxy.php?id=4gtv-4gtv084
国会频道2,http://myzy.eu.org/proxy.php?id=4gtv-4gtv085
智林体育台,http://myzy.eu.org/proxy.php?id=4gtv-4gtv101
国际财经,http://myzy.eu.org/proxy.php?id=4gtv-4gtv104
第1商業台,http://myzy.eu.org/proxy.php?id=4gtv-4gtv109
东森新闻,http://myzy.eu.org/proxy.php?id=4gtv-4gtv152
