上海频道,#genre#
五星体育,http://222.68.11.73:9898/rtp/239.45.3.210:5140$1920x1080
五星体育,http://180.159.68.190:4022/rtp/239.45.3.210:5140$1920x1080
五星体育,http://218.78.180.91:9999/rtp/239.45.3.210:5140$1920x1080
五星体育,http://101.81.119.90:8888/rtp/239.45.3.210:5140
五星体育,http://www.17888.fun:10000/rtp/239.45.3.210:5140
五星体育,http://101.224.148.168:5022/rtp/239.45.3.210:5140$1920x1080
五星体育,http://218.80.126.237:4022/rtp/239.45.3.210:5140$1920x1080
五星体育,http://222.65.158.32:22222/rtp/239.45.3.210:5140$1920x1080
五星体育,http://116.226.25.48:4022/rtp/239.45.3.210:5140$1920x1080
五星体育,http://180.158.164.233:8888/rtp/239.45.3.210:5140$1920x1080
五星体育,http://101.83.173.152:9999/rtp/239.45.3.210:5140$1920x1080
五星体育,http://180.158.191.162:9999/rtp/239.45.3.210:5140$1920x1080
五星体育,http://58.32.43.55:4022/rtp/239.45.3.210:5140$1920x1080
五星体育,http://222.68.48.77:4022/rtp/239.45.3.210:5140$1920x1080
五星体育,http://origin.lean.org.cn:4000/rtp/239.45.3.210:5140
五星体育,http://139.196.151.191:2051/rtp/239.45.3.210:5140
五星体育,http://116.227.48.27:58888/rtp/239.45.3.210:5140
生活时尚,http://116.227.10.196:2048/rtp/239.45.3.132:5140$1920x1080
生活时尚,http://182.32.160.37:9997/rtp/239.21.2.103:5002$1920x1080
生活时尚,http://222.64.125.110:58888/rtp/239.45.3.132:5140$1920x1080
生活时尚,http://222.68.11.73:9898/rtp/239.45.3.132:5140$1920x1080
生活时尚,http://116.231.244.25:8888/rtp/239.45.3.132:5140$1920x1080
生活时尚,http://180.159.68.190:4022/rtp/239.45.3.132:5140$1920x1080
生活时尚,http://113.120.46.90:8123/rtp/239.21.2.103:5002$1920x1080
生活时尚,http://218.78.180.91:9999/rtp/239.45.3.132:5140$1920x1080
生活时尚,http://218.80.126.237:4022/rtp/239.45.3.132:5140$1920x1080
生活时尚,http://101.224.148.168:5022/rtp/239.45.3.132:5140$1920x1080
生活时尚,http://222.65.158.32:22222/rtp/239.45.3.132:5140$1920x1080
生活时尚,http://101.83.173.152:9999/rtp/239.45.3.132:5140$1920x1080
生活时尚,http://180.158.164.233:8888/rtp/239.45.3.132:5140$1920x1080
生活时尚,http://116.226.25.48:4022/rtp/239.45.3.132:5140$1920x1080
生活时尚,http://58.32.43.55:4022/rtp/239.45.3.132:5140$1920x1080
生活时尚,http://180.158.191.162:9999/rtp/239.45.3.132:5140$1920x1080
生活时尚,http://222.68.48.77:4022/rtp/239.45.3.132:5140$1920x1080
